DDb-hybrid (match),Checklist (replace-with),TM (replace),Replace?,Regex?,Notes,,,,
p.aeg.handschr,P.Äg.Handschrift.,P. Äg. Handschr.,TRUE,FALSE,,,,,
p.philammon,P.Philammon,P. Aktenbuch Ms.,TRUE,FALSE,,,,,
p.alex.giss,P.Alex.Giss.,P. Alex. Giss.,TRUE,FALSE,,,,,
p.alex,P.Alex.,P. Alex.,TRUE,FALSE,,,,,
p.amh,P.Amh.,P. Amh. Gr.,TRUE,FALSE,,,,,
p.ammon,P.Ammon,P. Ammon,TRUE,FALSE,,,,,
p.amst,P.Amst.,P. Amst.,TRUE,FALSE,,,,,
p.anag,P.Anag.,P. Anag.,TRUE,FALSE,,,,,
p.ant,P.Ant.,P. Ant.,TRUE,FALSE,,,,,
p.aphrod.let.copt,P.Aphrod.Let.Copt.,P. Aphrod. Let. Copt.,TRUE,FALSE,,,,,
p.aphrod.lit.,P.Aphrod.Lit.,P. Aphrod. Lit.,TRUE,FALSE,,,,,
p.apoll,P.Apoll.,P. Apoll.,TRUE,FALSE,,,,,
p.ashm,P.Ashm.,P. Ashm.,TRUE,FALSE,,,,,
p.assoc.,P.Assoc.,P. Assoc.,TRUE,FALSE,,,,,
p.athen,P.Athen.,P. Athen,TRUE,FALSE,,,,,
p.athen.xyla,P.Athen.Xyla,P. Athen. Xyla 1,TRUE,FALSE,,,,,
p.bad,P.Bad.,P. Baden,TRUE,FALSE,,,,,
p.bagnall,P.Bagnall,P. Bagnall,TRUE,FALSE,,,,,
p.bal,P.Bal.,P. Bala'izah,TRUE,FALSE,,,,,
p.bas,P.Bas.,P. Basel,TRUE,FALSE,,,,,
p.bawit.clackson,P.Bawit Clackson,P. Bawit Clackson,TRUE,FALSE,,,,,
p.benaki,P.Benaki,P. Benaki,TRUE,FALSE,,,,,
p.berl.bibl,P.Berl.Bibl.,P. Berl. Bibl.,TRUE,FALSE,,,,,
p.berl.bork,P.Berl.Bork.,P. Berl. Bork. p. 47-68,TRUE,FALSE,,,,,
p.berl.brash,P.Berl.Brash.,P. Berl. Brashear,TRUE,FALSE,,,,,
p.berl.cohen,P.Berl.Cohen,P. Berl. Cohen,TRUE,FALSE,,,,,
p.berl.frisk,P.Berl.Frisk,P. Berl. Frisk,TRUE,FALSE,,,,,
p.berl.dem;2,P.Berl.Dem. 2,P. Berl. Kaufv.,TRUE,FALSE,,,,,
p.berl.leihg,P.Berl.Leihg.,P. Berl. Leihg.,TRUE,FALSE,,,,,
p.berl.moeller,P.Berl.Möller,P. Berl. Möller,TRUE,FALSE,,,,,
p.berl.salmen,P.Berl.Salmen.,P. Berl. Salmenkivi,TRUE,FALSE,,,,,
p.berl.sarisch,P.Berl.Sarisch.,P. Berl. Sarischouli,TRUE,FALSE,,,,,
p.berl.schmidt,P.Berl.Schmidt,P. Berl. Schmidt,TRUE,FALSE,,,,,
p.berl.spieg.,P.Berl.Spieg.,P. Berl. Spieg.,TRUE,FALSE,,,,,
p.berl.thun,P.Berl.Thun.,P. Berl. Thunell,TRUE,FALSE,,,,,
p.berl.zill,P.Berl.Zill.,P. Berl. Zill.,TRUE,FALSE,,,,,
p.berl.monte,P.Berl.Monte,P. Berlin Monte,TRUE,FALSE,,,,,
p.bingen,P.Bingen,P. Bingen,TRUE,FALSE,,,,,
p.brit.mus;4,P.Brit.Mus.,P. BM Andrews,TRUE,FALSE,,,,,
p.bodl,P.Bodl.,P. Bodl.,TRUE,FALSE,,,,,
p.bon,P.Bon.,P. Bon.,TRUE,FALSE,,,,,
p.bour,P.Bour.,P. Bouriant,TRUE,FALSE,,,,,
p.brem,P.Brem.,P. Brem.,TRUE,FALSE,,,,,
p.brookl.dem,P.Brookl.Dem.,P. Brooklyn Dem.,TRUE,FALSE,,,,,
p.brookl.,P.Brookl.,P. Brooklyn Gr.,TRUE,FALSE,,,,,
p.brookl.pierce,P.Brookl.Pierce,P. Brooklyn Pierce,TRUE,FALSE,,,,,
p.brux.bawit,P.Brux.Bawit,P. Brux. Bawit,TRUE,FALSE,,,,,
p.brux,P.Brux.,P. Brux. Gr.,TRUE,FALSE,,,,,
p.bub,P.Bub.,P. Bub.,TRUE,FALSE,,,,,
p.buergsch.,P.Bürgsch.,P. Bürgsch.,TRUE,FALSE,,,,,
p.cair,P.Cair.,P. Cairo,TRUE,FALSE,,,,,
p.cair.arab,P.Cair.Arab.,P. Cairo Arabic,TRUE,FALSE,,,,,
p.cair.cat,P.Cair.Cat.,P. Cairo Cat.,TRUE,FALSE,,,,,
p.cair.gad,P.Cair.Gad,P. Cairo Gad,TRUE,FALSE,,,,,
